Sensor_data:0.00,0.00,1.00,0.43,1.04,-1.04,-0.04,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-0.98,-0.11,
Sensor_data:0.00,-0.00,1.00,0.37,0.98,-0.98,-0.04,
Sensor_data:-0.00,0.00,1.00,0.31,1.10,-1.10,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-1.04,-0.14,
Sensor_data:-0.00,-0.00,1.00,0.43,1.04,-1.10,-0.01,
Sensor_data:0.00,0.00,1.00,0.31,0.98,-1.10,0.15,
Sensor_data:0.00,0.00,1.00,0.37,1.10,-0.98,0.09,
Sensor_data:-0.00,0.00,1.00,0.37,1.10,-0.98,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.31,1.10,-0.92,0.12,
Sensor_data:0.00,-0.00,1.00,0.43,1.10,-0.92,0.02,
Sensor_data:-0.00,-0.00,1.00,0.31,1.10,-1.04,-0.04,
Sensor_data:0.00,-0.00,1.00,0.43,1.10,-1.04,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.37,0.92,-1.04,-0.01,
Sensor_data:0.00,-0.00,1.00,0.31,1.04,-1.04,0.09,
Sensor_data:-0.00,0.00,1.00,0.31,1.16,-0.92,-0.01,
Sensor_data:-0.00,0.00,1.00,0.24,0.98,-1.04,0.06,
Sensor_data:0.00,-0.00,1.00,0.31,1.04,-1.10,-0.07,
Sensor_data:0.00,-0.00,1.00,0.37,1.10,-1.04,-0.04,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-0.98,0.02,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-0.98,-0.11,
Sensor_data:0.00,-0.00,1.00,0.24,0.98,-1.04,-0.04,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-0.98,0.06,
Sensor_data:-0.00,-0.00,1.00,0.37,1.10,-0.92,-0.01,
Sensor_data:-0.00,0.00,1.00,0.55,0.98,-1.10,0.06,
Sensor_data:-0.00,-0.00,1.00,0.49,1.04,-1.04,0.06,
Sensor_data:-0.00,-0.00,1.00,0.37,1.16,-1.10,0.02,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-0.98,0.02,
Sensor_data:0.00,-0.00,1.00,0.31,1.22,-1.04,0.12,
Sensor_data:0.00,-0.00,1.00,0.49,1.10,-1.16,-0.04,
Sensor_data:0.00,-0.00,1.00,0.49,0.98,-1.10,0.02,
Sensor_data:0.00,-0.00,1.00,0.18,1.10,-1.04,0.02,
Sensor_data:0.00,0.00,1.00,0.43,1.04,-0.98,-0.01,
Sensor_data:0.00,-0.00,1.00,0.43,1.16,-1.10,-0.01,
Sensor_data:0.00,0.00,1.00,0.49,1.04,-1.10,-0.07,
Sensor_data:0.00,-0.00,1.00,0.37,0.98,-0.98,-0.11,
Sensor_data:0.00,-0.00,1.00,0.31,1.10,-0.98,0.02,
Sensor_data:-0.00,0.00,1.00,0.49,1.04,-0.92,0.06,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-0.92,0.02,
Sensor_data:0.00,-0.00,1.00,0.43,1.10,-1.10,0.06,
Sensor_data:0.00,-0.00,1.00,0.43,0.92,-1.16,0.02,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.10,0.06,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-0.98,0.06,
Sensor_data:0.00,-0.00,1.00,0.24,1.10,-0.92,0.06,
Sensor_data:0.00,0.00,1.00,0.37,1.16,-0.98,0.09,
Sensor_data:0.00,-0.00,1.00,0.31,0.92,-1.10,-0.04,
Sensor_data:0.00,-0.00,1.00,0.24,1.10,-1.04,0.06,
Sensor_data:-0.00,0.00,1.00,0.49,1.04,-0.92,-0.01,
Sensor_data:0.00,-0.00,1.00,0.37,1.16,-1.04,-0.04,
Sensor_data:0.00,0.00,1.00,0.43,1.04,-0.92,-0.01,
Sensor_data:0.00,-0.00,1.00,0.24,0.98,-1.04,0.06,
Sensor_data:-0.00,0.00,1.00,0.24,1.04,-1.10,0.02,
Sensor_data:-0.00,-0.00,1.00,0.49,0.98,-1.10,0.09,
Sensor_data:-0.00,-0.00,1.00,0.37,1.10,-1.10,0.15,
Sensor_data:-0.00,-0.00,1.00,0.31,1.22,-1.10,-0.04,
Sensor_data:-0.00,0.00,1.00,0.24,1.04,-0.98,0.02,
Sensor_data:-0.00,0.00,1.00,0.43,1.16,-1.10,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.16,-0.01,
Sensor_data:0.00,-0.00,1.00,0.37,0.98,-1.04,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.37,1.04,-1.04,0.02,
Sensor_data:-0.00,0.00,1.00,0.37,0.92,-0.98,-0.01,
Sensor_data:0.00,-0.00,1.00,0.55,0.98,-1.10,0.06,
Sensor_data:-0.00,-0.00,1.00,0.37,1.04,-1.10,-0.01,
Sensor_data:-0.00,0.00,1.00,0.31,0.98,-1.04,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.55,1.04,-1.04,0.02,
Sensor_data:0.00,-0.00,1.00,0.31,1.10,-1.04,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.43,1.04,-1.04,0.02,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-0.98,0.02,
Sensor_data:-0.00,0.00,1.00,0.31,1.10,-1.04,-0.04,
Sensor_data:0.00,0.00,1.00,0.31,0.92,-1.04,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.43,1.04,-0.98,0.06,
Sensor_data:-0.00,-0.00,1.00,0.49,1.04,-0.92,0.15,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-1.10,0.02,
Sensor_data:-0.00,-0.00,1.00,0.55,1.10,-1.10,0.02,
Sensor_data:0.00,-0.00,1.00,0.55,0.85,-1.10,0.02,
Sensor_data:0.00,0.00,1.00,0.49,0.92,-1.10,0.06,
Sensor_data:0.00,0.00,1.00,0.37,0.92,-1.10,-0.11,
Sensor_data:-0.00,0.00,1.00,0.37,1.16,-1.04,0.09,
Sensor_data:0.00,0.00,1.00,0.31,1.10,-1.04,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.18,0.98,-1.04,-0.04,
Sensor_data:0.00,0.00,1.00,0.43,1.04,-0.98,-0.07,
Sensor_data:0.00,-0.00,1.00,0.37,0.98,-1.04,0.02,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-1.04,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.49,1.04,-0.92,-0.01,
Sensor_data:-0.00,0.00,1.00,0.18,0.98,-0.98,0.02,
Sensor_data:0.00,-0.00,1.00,0.31,1.04,-0.98,-0.14,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.04,0.22,
Sensor_data:-0.00,-0.00,1.00,0.31,1.10,-1.10,0.02,
Sensor_data:0.00,-0.00,1.00,0.37,1.16,-1.04,-0.04,
Sensor_data:0.00,0.00,1.00,0.24,1.04,-1.16,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.16,0.09,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-1.04,-0.04,
Sensor_data:0.00,0.00,1.00,0.43,1.10,-1.04,0.02,
Sensor_data:-0.00,0.00,1.00,0.24,1.10,-1.04,-0.01,
Sensor_data:-0.00,0.00,1.00,0.24,1.04,-1.16,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.43,1.16,-0.98,0.02,
Sensor_data:0.00,-0.00,1.00,0.37,1.10,-1.04,0.02,
Sensor_data:-0.00,-0.00,1.00,0.37,1.04,-1.04,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.43,1.04,-1.10,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.43,0.98,-1.10,0.09,
Sensor_data:0.00,-0.00,1.00,0.37,1.04,-0.98,0.06,
Sensor_data:0.00,-0.00,1.00,0.37,0.98,-1.04,-0.01,
Sensor_data:0.00,0.00,1.00,0.49,1.04,-1.04,-0.01,
Sensor_data:0.00,-0.00,1.00,0.43,1.16,-1.10,-0.11,
Sensor_data:0.00,0.00,1.00,0.31,1.10,-1.04,0.02,
Sensor_data:0.00,0.00,1.00,0.37,1.04,-1.04,0.09,
Sensor_data:-0.00,0.00,1.00,0.37,0.98,-1.04,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.43,1.16,-1.16,-0.04,
Sensor_data:0.00,-0.00,1.00,0.43,1.16,-1.16,0.02,
Sensor_data:0.00,-0.00,1.00,0.24,0.98,-1.10,-0.01,
Sensor_data:-0.00,0.00,1.00,0.37,1.04,-0.98,0.02,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-0.98,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.43,1.04,-0.98,-0.07,
Sensor_data:-0.00,0.00,1.00,0.43,0.98,-0.98,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.31,0.98,-1.04,-0.17,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-0.98,-0.04,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-0.98,0.02,
Sensor_data:-0.00,0.00,1.00,0.31,1.10,-1.10,0.06,
Sensor_data:0.00,0.00,1.00,0.31,0.98,-1.16,0.09,
Sensor_data:0.00,-0.00,1.00,0.24,1.04,-0.92,0.06,
Sensor_data:0.00,-0.00,1.00,0.31,1.10,-0.98,0.06,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-1.04,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.55,1.16,-1.16,-0.14,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-1.22,0.09,
Sensor_data:-0.00,-0.00,1.00,0.31,0.98,-1.22,-0.04,
Sensor_data:0.00,-0.00,1.00,0.37,1.10,-1.10,-0.04,
Sensor_data:0.00,0.00,1.00,0.43,1.22,-1.04,-0.11,
Sensor_data:0.00,0.00,1.00,0.49,1.22,-1.04,0.06,
Sensor_data:0.00,-0.00,1.00,0.43,1.10,-1.04,-0.04,
Sensor_data:0.00,0.00,1.00,0.24,1.10,-1.10,-0.04,
Sensor_data:0.00,-0.00,1.00,0.24,1.10,-1.04,-0.11,
Sensor_data:0.00,0.00,1.00,0.37,1.16,-0.92,-0.07,
Sensor_data:0.00,-0.00,1.00,0.49,1.22,-0.85,-0.04,
Sensor_data:0.00,-0.00,1.00,0.49,0.98,-1.04,0.02,
Sensor_data:-0.00,0.00,1.00,0.31,0.98,-1.04,0.02,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-1.04,-0.04,
Sensor_data:0.00,-0.00,1.00,0.55,0.98,-1.04,-0.01,
Sensor_data:0.00,0.00,1.00,0.43,1.16,-0.92,-0.07,
Sensor_data:0.00,-0.00,1.00,0.43,1.10,-1.04,-0.04,
Sensor_data:0.00,-0.00,1.00,0.43,1.10,-1.10,0.02,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-0.98,0.12,
Sensor_data:-0.00,-0.00,1.00,0.43,1.04,-1.04,-0.11,
Sensor_data:-0.00,0.00,1.00,0.24,1.04,-0.98,-0.04,
Sensor_data:-0.00,0.00,1.00,0.18,0.98,-0.98,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.37,1.10,-0.98,-0.11,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-1.04,-0.04,
Sensor_data:-0.00,0.00,1.00,0.43,1.16,-0.92,0.06,
Sensor_data:-0.00,-0.00,1.00,0.37,1.04,-0.98,-0.04,
Sensor_data:-0.00,0.00,1.00,0.18,1.10,-1.10,0.09,
Sensor_data:-0.00,0.00,1.00,0.31,1.16,-1.04,-0.07,
Sensor_data:0.00,0.00,1.00,0.31,1.16,-0.98,-0.04,
Sensor_data:0.00,0.00,1.00,0.31,1.04,-1.04,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-0.98,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.24,0.92,-0.85,0.02,
Sensor_data:-0.00,0.00,1.00,0.31,1.04,-1.04,-0.07,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.10,-0.07,
Sensor_data:0.00,-0.00,1.00,0.49,1.04,-1.10,-0.17,
Sensor_data:0.00,-0.00,1.00,0.37,1.04,-1.04,-0.11,
Sensor_data:-0.00,0.00,1.00,0.55,1.04,-0.98,-0.01,
Sensor_data:-0.00,0.00,1.00,0.37,1.04,-1.04,-0.01,
Sensor_data:-0.00,0.00,1.00,0.49,1.04,-1.04,-0.04,
Sensor_data:0.00,-0.00,1.00,0.49,1.04,-0.98,0.02,
Sensor_data:-0.00,-0.00,1.00,0.06,0.98,-1.04,0.06,
Sensor_data:0.00,-0.00,1.00,0.24,1.04,-1.04,0.06,
Sensor_data:0.00,0.00,1.00,0.43,1.04,-1.04,-0.01,
Sensor_data:0.00,-0.00,1.00,0.43,0.98,-1.10,0.02,
Sensor_data:0.00,0.00,1.00,0.43,1.10,-0.98,0.15,
Sensor_data:0.00,0.00,1.00,0.37,1.04,-0.92,0.18,
Sensor_data:-0.00,0.00,1.00,0.31,0.98,-1.04,0.02,
Sensor_data:0.00,-0.00,1.00,0.37,1.16,-1.04,0.02,
Sensor_data:0.00,-0.00,1.00,0.31,1.34,-0.98,0.06,
Sensor_data:-0.00,0.00,1.00,0.37,0.98,-1.04,-0.07,
Sensor_data:0.00,-0.00,1.00,0.24,0.98,-1.16,-0.07,
Sensor_data:-0.00,0.00,1.00,0.37,0.92,-0.98,-0.07,
Sensor_data:-0.00,0.00,1.00,0.43,0.92,-1.10,0.02,
Sensor_data:0.00,-0.00,1.00,0.31,1.04,-1.04,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.37,1.04,-1.10,0.09,
Sensor_data:-0.00,-0.00,1.00,0.43,0.92,-0.98,0.06,
Sensor_data:-0.00,-0.00,1.00,0.43,0.98,-1.04,0.09,
Sensor_data:-0.00,0.00,1.00,0.24,1.04,-1.04,0.02,
Sensor_data:0.00,-0.00,1.00,0.31,1.04,-1.22,-0.01,
Sensor_data:0.00,0.00,1.00,0.31,1.04,-1.04,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.24,0.85,-1.04,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.37,1.04,-0.85,-0.07,
Sensor_data:0.00,0.00,1.00,0.24,1.10,-0.92,-0.07,
Sensor_data:-0.00,0.00,1.00,0.24,1.10,-1.10,0.06,
Sensor_data:-0.00,-0.00,1.00,0.37,1.04,-1.16,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.31,0.92,-1.04,-0.04,
Sensor_data:-0.00,0.00,1.00,0.37,1.16,-1.04,0.09,
Sensor_data:-0.00,0.00,1.00,0.43,1.16,-1.04,0.02,
Sensor_data:0.00,-0.00,1.00,0.31,1.04,-1.10,0.02,
Sensor_data:0.00,0.00,1.00,0.18,1.04,-1.04,0.02,
Sensor_data:0.00,-0.00,1.00,0.37,0.98,-1.04,-0.07,
Sensor_data:0.00,-0.00,1.00,0.55,0.98,-0.98,-0.11,
Sensor_data:0.00,-0.00,1.00,0.43,1.10,-1.04,0.09,
Sensor_data:-0.00,-0.00,1.00,0.37,1.04,-1.04,-0.04,
Sensor_data:0.00,-0.00,1.00,0.37,0.98,-1.16,0.06,
Sensor_data:0.00,-0.00,1.00,0.31,0.98,-1.16,-0.14,
Sensor_data:0.00,-0.00,1.00,0.37,1.10,-1.04,-0.01,
Sensor_data:-0.00,0.00,1.00,0.55,1.10,-0.98,-0.01,
Sensor_data:0.00,0.00,1.00,0.55,1.10,-1.10,0.09,
Sensor_data:0.00,-0.00,1.00,0.37,1.22,-0.98,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.31,1.04,-0.98,0.09,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-0.98,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.49,1.10,-1.04,-0.04,
Sensor_data:-0.00,0.00,1.00,0.37,1.10,-1.04,-0.04,
Sensor_data:0.00,-0.00,1.00,0.37,1.10,-1.04,-0.04,
Sensor_data:0.00,-0.00,1.00,0.37,1.10,-1.16,0.09,
Sensor_data:-0.00,0.00,1.00,0.55,1.10,-1.04,-0.04,
Sensor_data:0.00,-0.00,1.00,0.43,1.10,-0.98,0.02,
Sensor_data:0.00,0.00,1.00,0.43,0.98,-1.10,0.02,
Sensor_data:-0.00,-0.00,1.00,0.43,0.98,-1.10,0.02,
Sensor_data:-0.00,0.00,1.00,0.18,0.98,-0.98,-0.11,
Sensor_data:-0.00,0.00,1.00,0.37,1.04,-1.10,-0.11,
Sensor_data:-0.00,0.00,1.00,0.55,0.98,-1.04,-0.04,
Sensor_data:0.00,0.00,1.00,0.37,1.10,-0.98,0.09,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.04,-0.01,
Sensor_data:0.00,0.00,1.00,0.37,0.98,-1.10,0.15,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.10,0.02,
Sensor_data:0.00,-0.00,1.00,0.37,1.10,-0.85,0.02,
Sensor_data:-0.00,0.00,1.00,0.43,1.16,-0.92,0.06,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-0.92,0.06,
Sensor_data:-0.00,-0.00,1.00,0.31,0.98,-0.98,-0.11,
Sensor_data:-0.00,0.00,1.00,0.55,1.16,-1.04,0.06,
Sensor_data:-0.00,-0.00,1.00,0.31,1.10,-1.04,-0.14,
Sensor_data:-0.00,0.00,1.00,0.55,1.10,-1.04,-0.07,
Sensor_data:0.00,0.00,1.00,0.24,1.10,-1.16,0.02,
Sensor_data:0.00,-0.00,1.00,0.37,1.10,-0.98,0.12,
Sensor_data:0.00,0.00,1.00,0.55,1.04,-1.04,0.02,
Sensor_data:0.00,-0.00,1.00,0.49,1.04,-1.04,0.02,
Sensor_data:0.00,0.00,1.00,0.49,1.04,-0.98,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.37,0.92,-1.04,0.02,
Sensor_data:-0.00,0.00,1.00,0.31,1.10,-0.98,0.02,
Sensor_data:0.00,-0.00,1.00,0.55,1.16,-1.04,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.55,1.16,-0.92,0.02,
Sensor_data:-0.00,-0.00,1.00,0.37,1.10,-0.92,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.31,1.10,-1.04,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-1.04,0.06,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-1.04,-0.01,
Sensor_data:-0.00,0.00,1.00,0.55,1.16,-1.10,-0.14,
Sensor_data:0.00,-0.00,1.00,0.43,1.22,-1.04,0.02,
Sensor_data:0.00,0.00,1.00,0.43,1.04,-1.16,0.02,
Sensor_data:-0.00,0.00,1.00,0.31,1.16,-1.10,-0.07,
Sensor_data:0.00,0.00,1.00,0.18,1.16,-0.98,-0.11,
Sensor_data:0.00,0.00,1.00,0.43,1.16,-1.10,-0.14,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-0.98,-0.04,
Sensor_data:0.00,0.00,1.00,0.31,1.10,-0.98,0.02,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-0.98,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.49,1.16,-1.04,0.06,
Sensor_data:-0.00,0.00,1.00,0.55,1.10,-1.04,0.06,
Sensor_data:-0.00,-0.00,1.00,0.55,1.04,-1.10,0.02,
Sensor_data:0.00,0.00,1.00,0.55,1.16,-1.10,-0.04,
Sensor_data:-0.00,0.00,1.00,0.61,1.10,-1.04,-0.04,
Sensor_data:0.00,0.00,1.00,0.49,1.16,-1.04,0.02,
Sensor_data:0.00,-0.00,1.00,0.43,1.16,-0.98,0.06,
Sensor_data:0.00,0.00,1.00,0.37,1.10,-1.04,-0.11,
Sensor_data:-0.00,0.00,1.00,0.37,1.16,-1.04,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.37,1.10,-1.04,-0.11,
Sensor_data:0.00,0.00,1.00,0.49,1.04,-1.04,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.49,1.10,-1.04,-0.01,
Sensor_data:0.00,0.00,1.00,0.43,1.04,-1.16,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.55,0.98,-0.98,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,0.98,-0.98,0.06,
Sensor_data:-0.00,0.00,1.00,0.49,0.98,-1.16,0.22,
Sensor_data:-0.00,-0.00,1.00,0.43,1.04,-1.10,0.09,
Sensor_data:0.00,0.00,1.00,0.49,0.98,-1.04,-0.14,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-0.98,-0.01,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-1.04,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.31,1.16,-1.04,0.02,
Sensor_data:-0.00,0.00,1.00,0.31,0.98,-0.98,-0.07,
Sensor_data:-0.00,0.00,1.00,0.37,0.92,-1.10,0.06,
Sensor_data:-0.00,0.00,1.00,0.49,1.10,-0.98,0.02,
Sensor_data:-0.00,0.00,1.00,0.43,0.98,-0.98,-0.04,
Sensor_data:-0.00,0.00,1.00,0.49,1.04,-0.92,-0.01,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.04,0.02,
Sensor_data:-0.00,0.00,1.00,0.37,1.10,-1.04,-0.07,
Sensor_data:0.00,0.00,1.00,0.37,1.04,-1.04,0.06,
Sensor_data:0.00,0.00,1.00,0.49,1.10,-1.04,-0.01,
Sensor_data:0.00,-0.00,1.00,0.37,1.16,-1.10,-0.11,
Sensor_data:0.00,-0.00,1.00,0.37,1.10,-1.04,-0.17,
Sensor_data:-0.00,0.00,1.00,0.37,1.04,-1.04,0.02,
Sensor_data:-0.00,-0.00,1.00,0.43,1.16,-1.04,0.02,
Sensor_data:-0.00,-0.00,1.00,0.43,1.16,-1.16,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.37,1.16,-0.92,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.49,1.10,-0.98,0.02,
Sensor_data:0.00,0.00,1.00,0.37,0.98,-1.16,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.49,1.04,-0.98,-0.04,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-0.98,0.06,
Sensor_data:0.00,0.00,1.00,0.43,1.04,-0.92,-0.01,
Sensor_data:0.00,-0.00,1.00,0.37,1.10,-1.04,-0.04,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.04,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-0.85,-0.04,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-0.98,0.12,
Sensor_data:0.00,0.00,1.00,0.43,1.04,-0.92,-0.14,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-0.92,-0.04,
Sensor_data:0.00,-0.00,1.00,0.43,0.98,-0.98,0.02,
Sensor_data:-0.00,-0.00,1.00,0.31,1.04,-1.16,0.06,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.10,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.49,1.04,-0.98,0.09,
Sensor_data:-0.00,-0.00,1.00,0.43,1.04,-1.04,-0.01,
Sensor_data:-0.00,0.00,1.00,0.31,1.04,-1.10,-0.07,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-0.98,-0.14,
Sensor_data:-0.00,0.00,1.00,0.37,0.98,-1.04,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-1.10,0.02,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-1.16,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.31,1.04,-1.10,-0.14,
Sensor_data:-0.00,0.00,1.00,0.31,1.10,-1.04,-0.07,
Sensor_data:0.00,0.00,1.00,0.37,1.04,-0.92,-0.01,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-1.04,0.02,
Sensor_data:0.00,0.00,1.00,0.49,1.04,-1.22,-0.01,
Sensor_data:0.00,0.00,1.00,0.49,1.10,-0.92,-0.11,
Sensor_data:0.00,0.00,1.00,0.49,1.10,-1.04,0.06,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-0.92,-0.04,
Sensor_data:0.00,0.00,1.00,0.43,0.98,-1.10,-0.01,
Sensor_data:-0.00,0.00,1.00,0.24,1.16,-1.10,-0.11,
Sensor_data:-0.00,-0.00,1.00,0.37,1.10,-1.16,0.02,
Sensor_data:0.00,0.00,1.00,0.55,1.10,-0.98,-0.11,
Sensor_data:0.00,0.00,1.00,0.43,1.10,-0.98,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.43,1.10,-0.98,-0.01,
Sensor_data:-0.00,0.00,1.00,0.24,1.10,-0.98,0.02,
Sensor_data:-0.00,-0.00,1.00,0.49,1.10,-0.98,0.09,
Sensor_data:0.00,0.00,1.00,0.49,1.10,-0.92,-0.07,
Sensor_data:-0.00,0.00,1.00,0.49,1.16,-0.98,0.02,
Sensor_data:-0.00,-0.00,1.00,0.37,0.98,-1.16,-0.14,
Sensor_data:-0.00,0.00,1.00,0.31,1.04,-1.04,0.02,
Sensor_data:-0.00,0.00,1.00,0.37,1.16,-0.98,0.06,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-1.04,-0.07,
Sensor_data:-0.00,0.00,1.00,0.43,1.04,-1.04,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.37,1.16,-1.04,0.12,
Sensor_data:0.00,-0.00,1.00,0.24,1.22,-0.98,-0.01,
Sensor_data:0.00,-0.00,1.00,0.43,1.16,-1.04,-0.11,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-0.98,-0.07,
Sensor_data:0.00,0.00,1.00,0.43,1.10,-1.16,-0.01,
Sensor_data:-0.00,0.00,1.00,0.31,1.04,-1.04,0.06,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.04,-0.04,
Sensor_data:0.00,0.00,1.00,0.37,1.04,-1.10,0.02,
Sensor_data:-0.00,-0.00,1.00,0.31,1.10,-1.04,-0.01,
Sensor_data:-0.00,0.00,1.00,0.24,1.04,-1.10,-0.07,
Sensor_data:-0.00,-0.00,1.00,0.37,0.98,-0.98,-0.01,
Sensor_data:0.00,0.00,1.00,0.43,1.10,-0.92,-0.14,
Sensor_data:-0.00,-0.00,1.00,0.43,1.16,-0.92,-0.07,
Sensor_data:-0.00,0.00,1.00,0.49,0.98,-0.98,0.15,
Sensor_data:-0.00,-0.00,1.00,0.37,0.98,-0.98,-0.01,
Sensor_data:-0.00,0.00,1.00,0.37,0.98,-0.98,0.02,
Sensor_data:-0.00,0.00,1.00,0.31,0.98,-0.92,0.06,
Sensor_data:-0.00,0.00,1.00,0.37,1.04,-1.04,-0.07,
Sensor_data:-0.00,0.00,1.00,0.43,1.10,-1.04,-0.11,
Sensor_data:0.00,-0.00,1.00,0.43,1.04,-0.98,-0.01,
Sensor_data:0.00,-0.00,1.00,0.31,1.04,-1.04,-0.11,
Sensor_data:0.00,0.00,1.00,0.55,1.16,-1.04,-0.04,
Sensor_data:-0.00,0.00,1.00,0.55,1.16,-1.16,-0.14,
Sensor_data:-0.00,0.00,1.00,0.43,0.98,-0.92,-0.07,
Sensor_data:-0.00,0.00,1.00,0.31,1.10,-0.98,0.12,
Sensor_data:0.00,0.00,1.00,0.37,1.04,-1.10,0.02,
Sensor_data:-0.00,-0.00,1.00,0.49,1.10,-1.04,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.49,0.98,-1.04,0.09,
Sensor_data:0.00,0.00,1.00,0.49,1.04,-1.10,-0.04,
Sensor_data:0.00,0.00,1.00,0.49,0.98,-1.04,-0.04,
Sensor_data:-0.00,-0.00,1.00,0.37,1.04,-0.98,-0.01,
Sensor_data:-0.00,-0.00,1.00,0.31,1.10,-0.98,-0.11,
Sensor_data:0.00,0.00,1.00,0.49,1.10,-1.04,-0.11,
Sensor_data:0.00,-0.00,1.00,0.43,1.22,-1.04,-0.11,
